Year,Anti-Semitic,Christian/Catholic,Tax Protest,Xenophobic/Nativist/Anti-Immigrant
1970,0,3,0,0
1971,0,3,0,0
1973,0,1,0,0
1975,1,0,0,0
1978,0,1,0,0
1979,0,2,0,0
1980,0,4,0,0
1981,0,3,0,0
1982,0,1,0,0
1983,0,3,0,0
1984,0,7,0,0
1986,0,7,0,0
1987,0,1,0,0
1990,0,1,0,0
1992,0,1,0,0
1995,0,2,0,0
1999,0,1,0,0
2008,0,1,0,0
2009,0,0,0,1
2012,0,0,1,0
2014,0,0,1,0
2017,0,3,0,0
2020,0,1,0,0
