ideology,Net,funnel,infection,seed crystal,self recruitment
Ethno-nationalist/separist,0.9678841309823678,0.09634760705289673,0.08438287153652393,0.0,0.0626574307304786
Extreme Left Wing,0.5055350553505535,0.6642066420664207,0.6789667896678967,0.0,0.13284132841328414
Extreme Right Wing,0.7450980392156863,0.11764705882352941,0.5294117647058824,0.0,0.19607843137254902
Religious,0.9348184818481848,0.0033003300330033004,0.004125412541254125,0.004125412541254125,0.0033003300330033004
Single issue,0.8896321070234113,0.0,0.18394648829431437,0.0,0.0
