ideology,Hierarchical,Movement,Network,Other,Umbrella
Ethno-nationalist/separist,0.9573631690353795,0.002419110976716057,0.9346840036286664,0.0,0.0
Extreme Left Wing,0.4525316455696203,0.0,0.370253164556962,0.0759493670886076,0.34810126582278483
Extreme Right Wing,0.9107142857142857,0.05357142857142857,0.6964285714285714,0.10714285714285714,0.125
Religious,0.4421168687982359,0.02866593164277839,0.029033443586916573,0.001470047776552738,0.5545755237045203
Single issue,0.014792899408284023,0.650887573964497,0.21597633136094674,0.011834319526627219,0.11242603550295859
