iyear,I_ETHNO,I_RACE,I_REL,I_LEFT,I_RIGHT,I_SI
1970,44.0,3.0,11.0,95.0,12.0,27.0
1971,120.0,3.0,14.0,81.0,14.0,21.0
1972,268.0,0.0,12.0,17.0,12.0,18.0
1973,140.0,1.0,4.0,18.0,2.0,15.0
1974,141.0,0.0,11.0,38.0,8.0,22.0
1975,116.0,1.0,11.0,92.0,18.0,26.0
1976,145.0,0.0,21.0,59.0,32.0,25.0
1977,163.0,0.0,8.0,94.0,8.0,18.0
1978,138.0,1.0,18.0,43.0,19.0,11.0
1979,266.0,2.0,5.0,53.0,10.0,13.0
1980,159.0,5.0,10.0,48.0,21.0,10.0
1981,194.0,8.0,20.0,85.0,13.0,7.0
1982,117.0,4.0,21.0,54.0,20.0,14.0
1983,164.0,7.0,11.0,31.0,13.0,6.0
1984,143.0,8.0,27.0,25.0,12.0,12.0
1985,67.0,0.0,7.0,10.0,5.0,1.0
1986,61.0,7.0,11.0,12.0,11.0,0.0
1987,86.0,1.0,2.0,5.0,2.0,6.0
1988,136.0,0.0,0.0,16.0,0.0,15.0
1989,126.0,5.0,1.0,6.0,0.0,12.0
1990,111.0,1.0,2.0,9.0,1.0,6.0
1991,207.0,0.0,1.0,5.0,0.0,3.0
1992,187.0,1.0,16.0,18.0,1.0,3.0
1994,147.0,0.0,30.0,27.0,0.0,5.0
1995,4.0,2.0,3.0,5.0,3.0,6.0
1996,13.0,4.0,6.0,5.0,5.0,9.0
1997,16.0,0.0,6.0,6.0,1.0,11.0
1998,17.0,0.0,7.0,17.0,0.0,13.0
1999,10.0,1.0,6.0,18.0,1.0,27.0
2000,9.0,0.0,12.0,26.0,1.0,16.0
2001,5.0,0.0,8.0,23.0,0.0,20.0
2002,16.0,0.0,14.0,9.0,0.0,9.0
2003,16.0,0.0,14.0,23.0,0.0,23.0
2004,12.0,0.0,16.0,5.0,0.0,5.0
2005,11.0,0.0,10.0,9.0,0.0,9.0
2006,5.0,0.0,4.0,5.0,0.0,5.0
2007,4.0,0.0,6.0,5.0,0.0,5.0
2008,5.0,1.0,117.0,5.0,1.0,5.0
2009,0.0,1.0,159.0,2.0,0.0,3.0
2010,1.0,0.0,210.0,8.0,0.0,9.0
2011,2.0,0.0,197.0,5.0,0.0,5.0
2012,0.0,0.0,374.0,0.0,1.0,0.0
2013,2.0,0.0,303.0,2.0,2.0,3.0
2014,0.0,0.0,464.0,3.0,1.0,4.0
2015,0.0,0.0,248.0,5.0,0.0,5.0
2016,0.0,0.0,184.0,1.0,1.0,1.0
2017,0.0,3.0,154.0,0.0,3.0,0.0
2018,0.0,0.0,99.0,0.0,0.0,0.0
2019,0.0,0.0,67.0,0.0,0.0,0.0
2020,0.0,1.0,34.0,0.0,1.0,0.0
2021,0.0,0.0,27.0,0.0,0.0,0.0
